INFO:root:FileInfo(name='triangle', extension='.py', is_directory=False, parent_directory='seminar_10')
INFO:root:FileInfo(name='chess', extension='.py', is_directory=False, parent_directory='seminar_10')
INFO:root:FileInfo(name='string_counter_words', extension='.py', is_directory=False, parent_directory='seminar_10')
INFO:root:FileInfo(name='main', extension='.py', is_directory=False, parent_directory='seminar_12')
INFO:root:FileInfo(name='subjects', extension='.csv', is_directory=False, parent_directory='seminar_12')
INFO:root:FileInfo(name='main', extension='.py', is_directory=False, parent_directory='seminar_13')
INFO:root:FileInfo(name='main', extension='.py', is_directory=False, parent_directory='seminar_14')
INFO:root:FileInfo(name='doctest', extension='.py', is_directory=False, parent_directory='seminar_14')
INFO:root:FileInfo(name='pytest', extension='.py', is_directory=False, parent_directory='seminar_14')
INFO:root:FileInfo(name='main', extension='.py', is_directory=False, parent_directory='seminar_15')
INFO:root:FileInfo(name='log', extension='.txt', is_directory=False, parent_directory='seminar_15')
